year,month,dayofweek,day,freight_value,competition_price,stock,black_friday,carnival,christmas,friday,mothers_day,new_year,others,valentines,base_cost
2018,12,6,16,27.817905733194166,981.5096605657784,1417.0,0,0,0,0,0,0,0,0,758.3929231231366
2018,12,0,17,27.70238642827385,984.8360625261856,1357.0,0,0,0,0,0,0,0,0,760.4043069282858
2018,12,1,18,27.50485953541175,981.0500057526905,1395.0,0,0,0,0,0,0,0,0,759.3732866114253
2018,12,2,19,27.97289099930641,982.8863419431668,1408.0,0,0,0,0,0,0,0,0,760.6041376590443
2018,12,3,20,27.712239307418013,968.7193782592843,3444.0,0,0,0,0,0,0,0,0,759.9908332211722
2018,12,4,21,27.52059564652286,970.0518405955924,3458.0,0,0,0,0,0,0,0,0,759.7184809235417
2018,12,5,22,27.721853211411013,969.6173710793637,3409.0,0,0,0,0,0,0,0,0,760.7226420258974
2018,12,6,23,27.703042829968357,982.5292859356211,3472.0,0,0,0,0,0,0,0,0,761.5595391290454
2018,12,0,24,27.703042829968357,981.5492062543464,3509.0,0,0,1,0,0,0,0,0,761.1906807214062
2018,12,1,25,27.81081544028407,979.1224046056727,3482.0,0,0,1,0,0,0,0,0,761.1629745186598
2018,12,2,26,27.81181700968535,981.4898386910384,3462.0,0,0,0,0,0,0,0,0,762.3597736945889
2018,12,3,27,27.81994752451796,981.0726019646139,2973.0,0,0,0,0,0,0,0,0,762.9151260667238
2018,12,4,28,27.594179295351296,982.9857666857556,2989.0,0,0,0,0,0,0,0,0,764.5994593382947
2018,12,5,29,27.918741665118777,989.3294151709058,3001.0,0,0,0,0,0,0,0,0,767.2388763502308
2018,12,6,30,27.919301598439727,990.4394525326953,3015.0,0,0,0,0,0,0,0,0,768.0553798278111
2018,12,0,31,27.924069046071157,989.1393109668097,3025.0,0,0,0,0,0,1,0,0,767.3441411723652
2019,1,1,1,27.924069046071157,989.603461164438,3025.0,0,0,0,0,0,1,0,0,767.3441411723652
2019,1,2,2,27.928988265106398,987.3982401251732,3159.0,0,0,0,0,0,0,0,0,767.0498479261616
