product_sku,gtin,canonical_sku,qty_orders,gmv,curve
PRDGE0B26BBSN6U2,7426911549446,PRDHF4P2XG28LEF1,5,"309,84",B
PRDROP82OIYHSVRA,7897208673920,PRDIM46EONCOE5AL,4,"186,18",B
PRD5OTPI5KP4PXC2,7909463594787,PRDP0E05PBVEFR14,2,"227,13",B
PRD7UJNVZAZKN8HS,7898412060018,PRDEGXPE014F5Q6C,10,"729,6",B
PRD9L1C385USH8X3,7893024187382,PRDUGERD1YSGYLB7,1,"207,34",B
PRDZ3JUIB0ZAOPQ9,7891005454119,PRD33LN7HGHAPP24,2,"182,93",B
PRDM6MOEC0NZG48I,7898596905723,PRDF9YV486RXDL5T,2,"328,7",B
PRDP8P31SY5G6YL3,2960000363032,PRD6AJMFTGHM7ZTA,1,"333,52",B
PRD8HTALSDR86VEN,7899768823593,PRD3JHFPBEEOXV0E,2,"355,82",B
PRD60BR11NGDW71D,7891530472213,PRDW2WU108EHUYC8,1,"424,26",B
PRDS1DRDAMN3ZVAL,7895315011406,PROA4F82331D4F7,5,"277,85",B
PRDXTQDBW145SGCX,2960000472611,PRDR40CDUZ7AJYDQ,1,"186,68",B
PRDPQW2U85N751Z0,7891546500436,PRDPQW2U85N751Z0,7,"406,78",B
PRDQ5RJKBGBAEMHB,2960000378739,PRDP324VECHRD94Y,1,"325,56",B
PRDETJD52K6UXYO1,7891461373757,PRDVVCNQ5CC04N7H,1,"280,54",B
PRDWK1GGH0HMI5M1,7898057430023,PRDDOK5IU345QA9V,4,"178,86",B
PRDH0PNMTZOFWD6M,7898584621956,SWE856PV5GWG2ALF,1,"235,61",B
PRD2G4HIG7N6RR2R,7891511396330,PRDV2X3L88NQYJL8,1,"209,25",B
PRDYG7PJDNRYYNXM,7908094401655,PRDWYB01BIIN76D4,1,"328,44",B
PRDDWZDW25IKRFB9,751320753359,PRDWP9RQX5M19LK2,3,"585,14",B
PRDMLDLDJS00YAMW,7898962971871,PRD814RBNR84091Y,3,"255,1",B
PRDTZHKU0EZGBALP,7427902581742,PRDVROX7MVK4YBS0,1,"187,49",B
PRD1F79VLPPPKHTG,609301999763,PRDL85VSXNEZLM2D,1,"402,02",B
PRD2DZJ83Z3D523N,603922842064,PRDZC2DIXKL92JRT,3,"323,84",B
PRDJ76V4MFZMYJNE,887961761856,PRDJ4FOWQR2WHVA8,1,"466,52",B
PRDM47I2BYN3VZXF,7896185970947,PRDTPIL1VN5T0P5J,11,"571,63",B
PRDBIEJFKWJKPNW4,9327868050406,PRD6OA3EO7DC8MSW,1,"214,09",B
PRDJX5TZPQ9MGRE6,7891461060732,PRDOH9VNEO8RUY73,2,"182,62",B
PRDAL57BT0L876SW,7897861995292,PRDNO08NNCXF8A8Z,1,"474,72",B
PRDX4FHIPUC0AC6C,2960000114542,PRDCHSL6PT0S0HEV,1,"248,48",B
PRDFSHFOUJQ0W4BQ,606529089313,PRDEDSWDWN0UDNXF,3,"529,94",B
PRDUG271I5SHCZCR,6905790510194,PRDSFV28Z0NGX47Y,5,"235,27",B
PRD8E5EFCFHE0N45,7898662673501,PRDM4HK9IBCAQW9D,2,"422,79",B
PRDMO9YCA9JKLAKT,7891529174579,PRDL8DQGNBBYLN9B,1,"377,21",B
PRDOGLZ9WAW2R747,7892844002219,PRDS3FMI1JEZMC8B,1,"332,41",B
PRDF102N3EUYWFYN,7898954488233,PRDF102N3EUYWFYN,4,"192,7",B
PRDWNJ2CBX1NADY3,631384908165,PRDG0T6DPW7ZDEL6,2,"229,86",B
PRD1TANCWQJIYBVJ,7898665260104,PRDM3ESVQRYTGHSR,2,"207,12",B
PRDCJT5OCNH7YMNJ,7899884211588,PRDTQ0CKIAJVW7MO,2,"335,73",B
PRD6923BZTB2HNHR,7894728681220,PRD8ARLMPKX5A7OS,1,"387,2",B
PRD0Z4DUJJCPUJL2,7899714324853,PRD73ESN0I4NF78A,4,"336,31",B
PRD435JM0XF1HF1D,7891100028802,PRDVNZ2CCQ4XJEM2,3,"455,98",B
PRDXHA68UZVJ40VG,7909463590987,PRDDDZQNHE4HNVNU,1,"256,32",B
PRDXNF5NOM7J7TW4,7860000000294,PRDOGFT9VYM9QYXD,7,"417,87",B
PRDYNCVO7DJURSNP,7908282002367,PRDONUD53NBMMPXJ,3,"328,63",B
PRDC9DT21MDGZ0V0,7898658781777,PRDBWRCQ9ILTCXE3,6,"267,24",B
PRDIYP3IUX5K9IWG,7893590154092,PRDLITFRJDYV8CUS,3,"449,76",B
PRD9471V0FIVDDSU,7891530448379,PRDWUXD9ZN4FFHZ8,1,"260,49",B
PRDS3T7MQNXVO6AI,4893888198626,PRDFVNRREMBG5BOY,2,"307,3",B
PRD1YN1ZHLIBR07M,7898687680690,PRDE05360Z30DNZY,1,"194,05",B
PRD81XZM2CJDRBAB,7898963571056,PRDMK0UB1RAXEG2N,1,"397,02",B
PRD8GR1UT0NAKLFC,7897717000705,PRD1KZZNA8FDDYLP,2,"476,7",B
PRDYMN7XRZAKU604,2960000144594,PRD15JA7VRI0XDWK,2,"340,18",B
PRDY7U58QN70WUMR,2960000239344,PRD0W12QC9VYXRQA,1,"182,44",B
PRD4JLE5JYI8RW5Z,7908217006606,PRDTQ4UXNHN8LJWD,1,"241,86",B
PRDE2V885RIMUKNZ,2960000648719,PRDOX3PWGDZ2P19L,3,"247,8",B
PRDOZVDZRHGD4GEU,8852008301984,PRDZWZQIF1P9QO8J,4,"209,85",B
PRD96CDQT9TK222G,7010615640914,PRDOYIC8JXWAK64F,2,"382,94",B
PRDE6YF4K8OIQV4S,2960000304776,PRD3PRPX93IINBQB,1,"244,49",B
PRD4ZS12RFKBR8U5,7898620402020,PRDD78I9TF6GQ6XL,3,"286,51",B
PRDFZSOE9WHKDYZO,7898677950451,PRD9WMBQ80CCSJE5,1,"499,48",B
PRDLJAYC51SEY17V,7909463519421,PRDFPGWTWCR5HCXR,2,"292,39",B
PRDRHI8B6ZX744W6,606529884864,PRD067JMG4C8D87U,2,"197,49",B
PRDGB100HRTM6GN5,4713968540094,PRD3YTP0TE6I66K1,4,"257,58",B
PRDH9JDJYM60G7ND,200000097790,PRD3BSMQFB3MZ8Q7,2,"249,42",B
PRD2YSS7YS4Q26KR,7898587641111,PRDHTA19FOLTQUVB,1,"202,86",B
PRDNGA32VJ590VXP,7433966273929,PRDV5YCAF4JZ7V5X,4,"205,68",B
PRDWJX66UI1HC1VM,7897013546228,PRO715D53014B4D,1,"546,72",B
PRD0MNM9W2ALHEF6,7908249507775,PRDRZN7QN4963JED,5,"219,17",B
PRDT751EA6V842QZ,650728044215,PRDTNORPNODRX3YE,3,"193,52",B
PRDPGO7PCLCQWBA3,7897102600510,PRDUZHVJPQU3XJK1,7,"473,64",B
PRDHUHZ6XE4KIMWT,8717185381153,PRDNHFTXLSLE4OI4,1,"242,29",B
PRDLUM7GK6MCQPJF,7898164183164,PRD83GBWQVMJVMPJ,6,"259,56",B
PRDQ49V2Q424CHOF,7898089221644,PRDA56R2S89VYLU3,2,"515,56",B
PRDWGOBVXC7J683S,7896558491000,NTK3DH88RMVHNV3G,1,"327,22",B
PRDLYVD40C51IEDM,7439672826213,PRD9T5N5A6R195HO,1,"301,04",B
PRDIEMN31VJM3ZEI,7898571025026,PRDZEDERB3S9XY1V,1,"174,36",B
PRD9FUKKE05BIUEI,735810185448,PRDOL6I46ICDJG53,7,"438,53",B
PRDORQX0LMMCFA6Z,7898412060155,PRDWCJPJV5A4GJJK,2,"244,23",B
PRDBYIV95PEEWFLO,7899126670579,PRD8TBBO3QVKU5W3,1,"316,89",B
PRD6YMC7IMAWF3VI,7891461280574,PRDLC442HWPI3EXR,1,"748,73",B
PRDJVF91MB08IFU1,8693357394209,PRD00IFNPZDX81JD,2,291,B
PRDVEMTY88PAZVNF,7896041993042,PRD1H4J4EDGA5A2R,2,"247,65",B
PRDRV65HS4ZYJ44B,751320234186,PRDBGMIC1WZDMLUS,5,"524,9",B
PRDLGEUO2QTMDD10,7897459747746,PRD1EMAUFCLU5D5B,2,"221,56",B
PRDH9IGQ1ETN7U6D,7899847729693,PRDPMS8E8GD3HLPR,6,"358,49",B
PRDY4PT08QIROLZB,8500555000095,PRDPEFGWU0ZQ9389,5,"178,5",B
