ds,year,month,dayofweek,day,price_category,offer,olist_price,freight_value,competition_price,stock,black_friday,carnival,christmas,friday,mothers_day,new_year,others,valentines,y
2017-07-30,2017,7,6,30,B,499.6910526315789,499.6910526315789,26.043522727272727,499.6910526315789,131.0,0,0,0,0,0,0,0,0,0.0
2017-07-30,2017,7,6,30,C,901.1188235294115,901.1188235294115,26.62176049382716,901.1188235294115,15.0,0,0,0,0,0,0,0,0,2.0
2017-07-30,2017,7,6,30,D,3397.4850000000006,3397.4850000000006,29.856000000000005,3397.4850000000006,18.0,0,0,0,0,0,0,0,0,0.0
2017-07-31,2017,7,0,31,A,195.02697368421042,195.02697368421042,18.334885339815443,195.02697368421042,8804.0,0,0,0,0,0,0,0,0,6.0
2017-07-31,2017,7,0,31,B,521.2471428571428,520.0864285714284,24.03577462380301,520.0864285714284,165.0,0,0,0,0,0,0,0,0,2.0
2017-07-31,2017,7,0,31,C,921.8219047619046,921.8219047619046,27.14628927823853,921.8219047619046,28.0,0,0,0,0,0,0,0,0,1.0
2017-07-31,2017,7,0,31,D,3216.230555555556,3216.230555555556,27.880000000000006,3216.230555555556,123.0,0,0,0,0,0,0,0,0,0.0
2017-08-01,2017,8,1,1,A,195.48499999999993,195.48499999999993,18.976453106526545,195.48499999999993,9321.0,0,0,0,0,0,0,0,0,3.0
2017-08-01,2017,8,1,1,B,515.3075862068964,514.186896551724,24.702437938353636,514.186896551724,1221.0,0,0,0,0,0,0,0,0,2.0
2017-08-01,2017,8,1,1,C,938.9569565217392,938.9569565217392,27.269423647384176,938.9569565217392,145.0,0,0,0,0,0,0,0,0,0.0
2017-08-01,2017,8,1,1,D,3216.230555555556,3216.230555555556,27.880000000000006,3216.230555555556,120.0,0,0,0,0,0,0,0,0,1.0
2017-08-02,2017,8,2,2,A,195.22358957219248,195.24587121212116,18.82583727679857,195.24587121212116,9805.0,0,0,0,0,0,0,0,0,5.0
2017-08-02,2017,8,2,2,B,528.2465624999999,527.2309374999999,24.033601845411127,527.2309374999999,1250.0,0,0,0,0,0,0,0,0,3.0
2017-08-02,2017,8,2,2,C,938.9569565217392,938.9569565217392,27.269423647384176,938.9569565217392,145.0,0,0,0,0,0,0,0,0,0.0
2017-08-02,2017,8,2,2,D,3216.230555555556,3216.230555555556,27.880000000000006,3216.230555555556,120.0,0,0,0,0,0,0,0,0,0.0
2017-08-03,2017,8,3,3,A,190.73319148936164,190.73319148936164,19.342574109174777,190.73319148936164,11392.0,0,0,0,0,0,0,0,0,6.0
2017-08-03,2017,8,3,3,B,530.4178787878787,529.4330303030303,23.59335950271581,529.4330303030303,1966.0,0,0,0,0,0,0,0,0,3.0
