ds,year,month,dayofweek,day,price_category,offer,olist_price,freight_value,competition_price,stock,black_friday,carnival,christmas,friday,mothers_day,new_year,others,valentines,y
2017-07-23,2017,7,6,23,C,899.2230769230769,899.2230769230769,31.0,899.2230769230769,7.0,0,0,0,0,0,0,0,0,0.0
2017-07-23,2017,7,6,23,D,3397.4850000000006,3397.4850000000006,39.0,3397.4850000000006,23.0,0,0,0,0,0,0,0,0,0.0
2017-07-24,2017,7,0,24,A,201.6868421052632,201.6868421052632,20.0,201.6868421052632,158.0,0,0,0,0,0,0,0,0,1.0
2017-07-24,2017,7,0,24,B,505.5435294117646,505.5435294117646,24.0,505.5435294117646,102.0,0,0,0,0,0,0,0,0,0.0
2017-07-24,2017,7,0,24,C,915.7673333333333,915.7673333333333,31.0,915.7673333333333,9.0,0,0,0,0,0,0,0,0,0.0
2017-07-24,2017,7,0,24,D,3397.4850000000006,3397.4850000000006,39.0,3397.4850000000006,18.0,0,0,0,0,0,0,0,0,0.0
2017-07-25,2017,7,1,25,A,201.6868421052632,201.6868421052632,20.0,201.6868421052632,159.0,0,0,0,0,0,0,0,0,4.0
2017-07-25,2017,7,1,25,B,505.5435294117646,505.5435294117646,24.0,505.5435294117646,102.0,0,0,0,0,0,0,0,0,0.0
2017-07-25,2017,7,1,25,C,915.7673333333333,915.7673333333333,31.0,915.7673333333333,9.0,0,0,0,0,0,0,0,0,0.0
2017-07-25,2017,7,1,25,D,3397.4850000000006,3397.4850000000006,39.0,3397.4850000000006,18.0,0,0,0,0,0,0,0,0,0.0
2017-07-26,2017,7,2,26,A,201.6868421052632,201.6868421052632,20.0,201.6868421052632,131.0,0,0,0,0,0,0,0,0,1.0
2017-07-26,2017,7,2,26,B,505.5435294117646,505.5435294117646,24.0,505.5435294117646,102.0,0,0,0,0,0,0,0,0,0.0
2017-07-26,2017,7,2,26,C,907.50125,907.50125,31.0,907.50125,10.0,0,0,0,0,0,0,0,0,0.0
2017-07-26,2017,7,2,26,D,3397.4850000000006,3397.4850000000006,39.0,3397.4850000000006,18.0,0,0,0,0,0,0,0,0,0.0
2017-07-27,2017,7,3,27,A,199.25250000000003,199.25250000000003,20.0,199.25250000000003,132.0,0,0,0,0,0,0,0,0,2.0
2017-07-27,2017,7,3,27,B,505.5435294117646,505.5435294117646,24.0,505.5435294117646,102.0,0,0,0,0,0,0,0,0,0.0
2017-07-27,2017,7,3,27,C,907.50125,907.50125,31.0,907.50125,10.0,0,0,0,0,0,0,0,0,0.0
